"1";"2";"3";"4";"5"
"219";"101009";"39.476589";"-0.378778";"-0.377599,39.474763 -0.377699,39.475374 -0.376701,39.475352 -0.376480,39.475241 -0.376313,39.475510 -0.376589,39.475680 -0.376624,39.475889 -0.376732,39.476573 -0.376848,39.476600 -0.376809,39.476833 -0.376900,39.476844 -0.376895,39.477268 -0.376874,39.477421 -0.376276,39.478776 -0.376555,39.478858 -0.377286,39.478392 -0.377277,39.478049 -0.377612,39.478101 -0.377754,39.477935 -0.378730,39.478427 -0.378855,39.477952 -0.379440,39.477600 -0.379542,39.477482 -0.379968,39.477516 -0.379987,39.477651 -0.380344,39.477682 -0.380240,39.476816 -0.380414,39.476307 -0.380112,39.476153 -0.379576,39.475158 -0.378796,39.474975 -0.378425,39.474747 -0.377991,39.474348 -0.377599,39.474763"
"219";"101010";"39.479332";"-0.378691";"-0.379070,39.482260 -0.381060,39.482169 -0.383451,39.481083 -0.383043,39.480275 -0.380292,39.479690 -0.380519,39.479003 -0.380701,39.478392 -0.380726,39.478044 -0.380512,39.477865 -0.380342,39.477681 -0.379986,39.477653 -0.379968,39.477514 -0.379544,39.477482 -0.379443,39.477597 -0.378856,39.477951 -0.378731,39.478428 -0.377753,39.477936 -0.377611,39.478102 -0.377279,39.478050 -0.377289,39.478391 -0.376554,39.478859 -0.376275,39.478777 -0.375452,39.480459 -0.379070,39.482260"
"219";"101011";"39.473820";"-0.371789";"-0.372446,39.470336 -0.371032,39.470296 -0.370284,39.471686 -0.369314,39.471351 -0.369137,39.471532 -0.368456,39.472116 -0.368971,39.472856 -0.367660,39.473590 -0.366248,39.473862 -0.370052,39.477373 -0.370891,39.476204 -0.371058,39.475731 -0.371564,39.475068 -0.372198,39.475473 -0.372687,39.475585 -0.372767,39.475183 -0.373103,39.475216 -0.373844,39.475418 -0.374163,39.474801 -0.374455,39.474280 -0.374534,39.474009 -0.374256,39.473941 -0.374247,39.473543 -0.373217,39.473333 -0.373541,39.472354 -0.373609,39.471816 -0.372798,39.471582 -0.373283,39.471232 -0.373742,39.471171 -0.374237,39.471148 -0.374181,39.470704 -0.373970,39.470389 -0.372446,39.470336"
"219";"101012";"39.474770";"-0.379708";"-0.380414,39.476307 -0.381861,39.476131 -0.382554,39.475962 -0.382629,39.475338 -0.380982,39.475097 -0.381237,39.474690 -0.381296,39.474543 -0.381287,39.474417 -0.381223,39.474136 -0.381203,39.473780 -0.381333,39.473594 -0.381153,39.473430 -0.381264,39.473323 -0.381118,39.472962 -0.380856,39.473104 -0.380578,39.472989 -0.379799,39.473040 -0.379693,39.471235 -0.379554,39.471274 -0.378817,39.470923 -0.378507,39.471391 -0.378204,39.472010 -0.377962,39.472584 -0.377817,39.473331 -0.377839,39.473448 -0.377277,39.473854 -0.376891,39.474242 -0.377306,39.474593 -0.377599,39.474762 -0.377991,39.474348 -0.378427,39.474747 -0.378796,39.474974 -0.379576,39.475158 -0.380112,39.476153 -0.380414,39.476307"
"219";"102014";"39.477810";"-0.355620";"-0.353997,39.479538 -0.354740,39.478140 -0.355567,39.478451 -0.359562,39.481376 -0.360702,39.480536 -0.361236,39.479464 -0.361892,39.478160 -0.358109,39.477013 -0.353855,39.475753 -0.352472,39.475304 -0.351306,39.478222 -0.351177,39.478699 -0.351347,39.479419 -0.352219,39.480943 -0.353997,39.479538"
"219";"102015";"39.482922";"-0.363274";"-0.360705,39.480536 -0.359561,39.481376 -0.362477,39.483508 -0.364305,39.480373 -0.361235,39.479466 -0.360705,39.480536"
"219";"102016";"39.482441";"-0.361589";"-0.364308,39.480370 -0.362477,39.483508 -0.362827,39.483775 -0.366472,39.486518 -0.367887,39.483867 -0.364678,39.482945 -0.366300,39.479497 -0.361893,39.478159 -0.361238,39.479465 -0.364308,39.480370"
"219";"102017";"39.474449";"-0.354702";"-0.353861,39.475752 -0.358117,39.477013 -0.358126,39.476479 -0.358456,39.475541 -0.359119,39.473789 -0.359449,39.473809 -0.359920,39.472857 -0.364163,39.470869 -0.363193,39.468824 -0.361394,39.468861 -0.360159,39.468289 -0.358489,39.469448 -0.356832,39.472078 -0.355813,39.471785 -0.355644,39.471946 -0.355067,39.473160 -0.354479,39.474372 -0.353861,39.475752"
"219";"102018";"39.476501";"-0.362694";"-0.366305,39.479496 -0.364681,39.482947 -0.367889,39.483864 -0.370685,39.477788 -0.370050,39.477372 -0.366247,39.473862 -0.364163,39.470869 -0.359967,39.472849 -0.359461,39.473816 -0.359106,39.473807 -0.358464,39.475546 -0.358140,39.476477 -0.358128,39.477016 -0.361891,39.478158 -0.366305,39.479496"
"219";"102191";"39.457382";"-0.366741";"-0.366324,39.460938 -0.367287,39.460520 -0.367920,39.461437 -0.372086,39.459661 -0.371425,39.458759 -0.371211,39.458830 -0.371291,39.458128 -0.370854,39.457550 -0.370889,39.457010 -0.370450,39.457021 -0.370503,39.455737 -0.367140,39.455076 -0.365337,39.452575 -0.361509,39.454149 -0.363844,39.457450 -0.366324,39.460938 "
